Top Ten Entry Date,Single Name,Artist(s),Peak,Peak Date,Weeks in Top Ten,Ref,Year
1960-05-02,Cradle of Love,Johnny Preston,7,1960-05-02,5,,1960
1960-05-02,Let the Little Girl Dance,Billy Bland,7,1960-05-16,4,,1960
1960-05-09,Stairway to Heaven,Neil Sedaka,9,1960-05-09,1,,1960
1960-05-09,Cathy's Clown,The Everly Brothers,1,1960-05-23,9,,1960
1960-05-16,Good Timin',Jimmy Jones,3,1960-05-23,7,,1960
1960-05-16,He'll Have to Stay,Jeanne Black,4,1960-05-30,6,,1960
1960-05-23,Paper Roses,Anita Bryant,5,1960-06-13,6,,1960
1960-05-30,Burning Bridges,Jack Scott,3,1960-06-13,6,,1960
1960-06-06,Everybody's Somebody's Fool,Connie Francis,1,1960-06-27,8,,1960
1960-06-06,Love You So,Ron Holden,7,1960-06-13,3,,1960
1960-06-13,Swingin' School,Bobby Rydell,5,1960-06-20,3,,1960
1960-06-13,Happy-Go-Lucky Me,Paul Evans,10,1960-06-13,1,,1960
1960-06-20,Alley Oop,The Hollywood Argyles,1,1960-07-11,8,,1960
1960-06-27,Because They're Young,Duane Eddy,4,1960-07-04,4,,1960
1960-06-27,I'm Sorry,Brenda Lee,1,1960-07-18,11,,1960
1960-06-27,A Rockin' Good Way,Dinah Washington and Brook Benton,7,1960-06-27,3,,1960
1960-07-04,That's All You Gotta Do,Brenda Lee,6,1960-07-04,5,,1960
1960-07-04,My Home Town,Paul Anka,8,1960-07-04,2,,1960
1960-07-04,Mule Skinner Blues,The Fendermen,5,1960-07-11,5,,1960
1960-07-11,Only the Lonely,Roy Orbison,2,1960-07-25,8,,1960
1960-07-11,When Will I Be Loved,The Everly Brothers,8,1960-07-18,2,,1960
1960-07-18,Tell Laura I Love Her,Ray Peterson,7,1960-08-01,5,,1960
1960-07-18,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Brian Hyland,1,1960-08-08,8,,1960
